"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"28.10.2025","4.930,0","4.915,0","4.930,0","4.900,0","104,08K","0,61%"
"27.10.2025","4.900,0","5.000,0","5.090,0","4.900,0","604,42K","-2,00%"
"24.10.2025","5.000,0","4.920,0","5.000,0","4.890,0","249,42K","2,15%"
"23.10.2025","4.895,0","4.900,0","4.920,0","4.895,0","142,85K","0,10%"
"22.10.2025","4.890,0","4.850,0","4.890,0","4.810,0","140,20K","0,41%"
"21.10.2025","4.870,0","4.830,0","4.870,0","4.830,0","109,37K","0,62%"
"20.10.2025","4.840,0","4.820,0","4.870,0","4.820,0","249,16K","-0,62%"
"17.10.2025","4.870,0","4.820,0","4.870,0","4.820,0","212,83K","0,83%"
"16.10.2025","4.830,0","4.825,0","4.855,0","4.825,0","166,40K","-0,51%"
"15.10.2025","4.855,0","4.810,0","4.860,0","4.810,0","461,38K","0,52%"
"14.10.2025","4.830,0","4.830,0","4.850,0","4.830,0","101,41K","0,00%"
"10.10.2025","4.830,0","4.815,0","4.830,0","4.795,0","171,45K","0,10%"
"09.10.2025","4.825,0","4.795,0","4.835,0","4.785,0","145,84K","0,63%"
"08.10.2025","4.795,0","4.750,0","4.795,0","4.710,0","93,21K","0,74%"
"07.10.2025","4.760,0","4.760,0","4.760,0","4.760,0","27,90K","1,06%"
"06.10.2025","4.710,0","4.755,0","4.755,0","4.705,0","147,26K","0,86%"
"03.10.2025","4.670,0","4.635,0","4.745,0","4.635,0","153,00K","0,86%"
"02.10.2025","4.630,0","4.630,0","4.630,0","4.630,0","43,71K","0,11%"
"01.10.2025","4.625,0","4.600,0","4.625,0","4.595,0","59,48K","-1,60%"
"30.09.2025","4.700,0","4.720,0","4.755,0","4.645,0","137,14K","-0,32%"
"29.09.2025","4.715,0","4.775,0","4.775,0","4.690,0","96,62K","-1,26%"
"26.09.2025","4.775,0","4.775,0","4.775,0","4.705,0","153,74K","0,00%"
"25.09.2025","4.775,0","4.775,0","4.775,0","4.730,0","168,79K","-0,21%"
"24.09.2025","4.785,0","4.800,0","4.820,0","4.750,0","372,05K","0,21%"
"23.09.2025","4.775,0","4.730,0","4.785,0","4.675,0","386,43K","1,06%"
"22.09.2025","4.725,0","4.600,0","4.730,0","4.580,0","370,05K","3,85%"
"19.09.2025","4.550,0","4.525,0","4.585,0","4.525,0","2,04M","0,66%"
"18.09.2025","4.520,0","4.380,0","4.580,0","4.380,0","1,91M","2,49%"
"17.09.2025","4.410,0","4.520,0","4.520,0","4.300,0","590,37K","-2,00%"
"16.09.2025","4.500,0","4.500,0","4.580,0","4.500,0","319,32K","0,00%"
"15.09.2025","4.500,0","4.755,0","4.755,0","4.500,0","894,71K","-5,06%"
"12.09.2025","4.740,0","4.770,0","4.780,0","4.740,0","134,09K","-2,07%"
"11.09.2025","4.840,0","4.740,0","4.840,0","4.705,0","176,38K","1,57%"
"10.09.2025","4.765,0","4.725,0","4.765,0","4.720,0","139,53K","0,42%"
"09.09.2025","4.745,0","4.705,0","4.750,0","4.705,0","111,73K","-0,52%"
"08.09.2025","4.770,0","4.720,0","4.775,0","4.710,0","166,82K","0,95%"
"05.09.2025","4.725,0","4.720,0","4.725,0","4.720,0","147,97K","0,00%"
"04.09.2025","4.725,0","4.705,0","4.760,0","4.700,0","107,85K","0,43%"
"03.09.2025","4.705,0","4.720,0","4.750,0","4.720,0","111,64K","-1,88%"
"02.09.2025","4.795,0","4.785,0","4.795,0","4.725,0","104,34K","-0,10%"
"01.09.2025","4.800,0","4.800,0","4.800,0","4.740,0","107,94K","0,21%"
"29.08.2025","4.790,0","4.670,0","4.790,0","4.665,0","114,68K","0,00%"
"28.08.2025","4.790,0","4.655,0","4.800,0","4.655,0","176,55K","0,00%"
"27.08.2025","4.790,0","4.745,0","4.795,0","4.745,0","77,74K","0,84%"
"26.08.2025","4.750,0","4.685,0","4.795,0","4.680,0","260,11K","1,50%"
"25.08.2025","4.680,0","4.750,0","4.750,0","4.680,0","327,27K","-2,50%"
"22.08.2025","4.800,0","4.800,0","4.800,0","4.755,0","90,48K","0,42%"
"21.08.2025","4.780,0","4.810,0","4.810,0","4.780,0","128,66K","-0,62%"
"20.08.2025","4.810,0","4.810,0","4.885,0","4.805,0","83,03K","0,10%"
"19.08.2025","4.805,0","4.800,0","4.840,0","4.800,0","181,26K","-1,64%"
"15.08.2025","4.885,0","4.840,0","4.885,0","4.840,0","148,67K","2,30%"
"14.08.2025","4.775,0","4.935,0","4.950,0","4.775,0","243,66K","-1,95%"
"13.08.2025","4.870,0","4.870,0","4.910,0","4.870,0","93,65K","-1,02%"
"12.08.2025","4.920,0","4.920,0","4.930,0","4.850,0","176,50K","-0,40%"
"11.08.2025","4.940,0","4.805,0","4.950,0","4.805,0","91,40K","0,82%"
"08.08.2025","4.900,0","4.780,0","4.900,0","4.780,0","251,07K","4,03%"
"06.08.2025","4.710,0","4.700,0","4.710,0","4.700,0","28,38K","0,00%"
"05.08.2025","4.710,0","4.710,0","4.710,0","4.710,0","27,40K","-0,32%"
"04.08.2025","4.725,0","4.790,0","4.790,0","4.725,0","104,41K","-1,66%"
"01.08.2025","4.805,0","4.700,0","4.805,0","4.680,0","259,14K","2,23%"
"31.07.2025","4.700,0","4.700,0","4.700,0","4.700,0","37,08K","0,21%"
"30.07.2025","4.690,0","4.765,0","4.765,0","4.690,0","144,69K","0,21%"
"29.07.2025","4.680,0","4.760,0","4.760,0","4.680,0","635,69K","-2,09%"
"28.07.2025","4.780,0","4.745,0","4.800,0","4.700,0","280,74K","2,03%"
"25.07.2025","4.685,0","4.710,0","4.740,0","4.685,0","194,40K","-1,37%"
"24.07.2025","4.750,0","4.735,0","4.750,0","4.680,0","89,56K","1,50%"
"23.07.2025","4.680,0","4.735,0","4.735,0","4.680,0","111,04K","0,54%"
"22.07.2025","4.655,0","4.650,0","4.710,0","4.650,0","89,25K","0,98%"
"21.07.2025","4.610,0","4.800,0","4.805,0","4.610,0","144,00K","-3,96%"
"18.07.2025","4.800,0","4.800,0","4.850,0","4.760,0","150,87K","-1,94%"
"17.07.2025","4.895,0","4.820,0","4.895,0","4.710,0","467,14K","1,98%"
"16.07.2025","4.800,0","4.600,0","4.800,0","4.600,0","180,47K","2,13%"
"15.07.2025","4.700,0","4.550,0","4.700,0","4.550,0","178,11K","3,18%"
"14.07.2025","4.555,0","4.535,0","4.555,0","4.505,0","81,75K","0,44%"
"11.07.2025","4.535,0","4.500,0","4.535,0","4.500,0","143,42K","0,33%"
"10.07.2025","4.520,0","4.500,0","4.520,0","4.500,0","102,18K","0,44%"
"09.07.2025","4.500,0","4.515,0","4.525,0","4.500,0","119,78K","0,45%"
"08.07.2025","4.480,0","4.510,0","4.550,0","4.480,0","145,58K","-0,55%"
"07.07.2025","4.505,0","4.550,0","4.550,0","4.495,0","162,97K","-0,99%"
"04.07.2025","4.550,0","4.550,0","4.550,0","4.550,0","104,24K","-0,44%"
"03.07.2025","4.570,0","4.510,0","4.570,0","4.510,0","123,68K","0,44%"
"02.07.2025","4.550,0","4.570,0","4.570,0","4.550,0","333,16K","-0,55%"
"01.07.2025","4.575,0","4.605,0","4.610,0","4.575,0","120,77K","1,67%"
"27.06.2025","4.500,0","4.580,0","4.580,0","4.500,0","151,99K","-1,64%"
"26.06.2025","4.575,0","4.600,0","4.600,0","4.575,0","322,48K","-0,65%"
"25.06.2025","4.605,0","4.695,0","4.695,0","4.600,0","238,30K","-2,02%"
"24.06.2025","4.700,0","4.495,0","4.700,0","4.495,0","293,32K","4,44%"
